year,total_films,animated_films,non_animated_films,animated_count_share,total_top20_gross_usd,animated_gross_usd,non_animated_gross_usd,animated_gross_share,animated_mean_gross_usd,non_animated_mean_gross_usd,animated_median_gross_usd,non_animated_median_gross_usd,top_animated_title,top_animated_rank,top_animated_gross_usd
2016,20,8,12,0.4,14610803599,6101835804,8508967795,0.4176249282015963,762729475.5,709080649.5833334,759514289,713459224.5,Finding Dory,3,1028570889
2017,20,3,17,0.15,16431571695,2377406517,14054165178,0.14468527789848773,792468839,826715598.7058823,814641172,822963408,Despicable Me 3,4,1034799409
2018,20,4,16,0.2,16388379388,2813428777,13574950611,0.17167217760775455,703357194.25,848434413.1875,528953868,695151256,Incredibles 2,4,1242805359
2019,20,6,14,0.3,18650821699,5859249542,12791572157,0.314155034912706,976541590.3333334,913683725.5,899657625.5,781213427.5,The Lion King,2,1656943394
2020,20,5,15,0.25,4855652972,1192533218,3663119754,0.2455968795292235,238506643.6,244207983.6,215905815,205358461,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,1,472162520
2021,20,2,18,0.1,10592341366,665488976,9926852390,0.06282737243874434,332744488,551491799.4444444,332744488,417185561,Sing 2,10,408702234
2022,20,5,15,0.25,13538079117,2144631372,11393447745,0.15841474654310073,428926274.4,759563183,250387888,626571697,Minions: The Rise of Gru,5,940482695
2023,20,3,17,0.15,13189672087,2547769825,10641902262,0.19316400045389545,849256608.3333334,625994250.7058823,690542303,569626289,The Super Mario Bros. Movie,2,1360783214
2024,20,5,15,0.25,13079342190,5000705574,8078636616,0.38233616808522386,1000141114.8,538575774.4,972021410,452000435,Inside Out 2,1,1698863816
2025,20,3,17,0.15,15822738081,4927593305,10895144776,0.3114248166009315,1642531101.6666667,640890869.1764706,1866647950,540807971,Ne Zha 2,1,2267446370
