year,rank,title,worldwide_gross_usd,boxofficemojo_release_group_url,annual_ranking_source_url,imdb_id,imdb_primary_title,imdb_original_title,imdb_genres,is_animated,animation_classification_rule,animation_classification_source_url
2016,1,Captain America: Civil War,1153296293,https://www.boxofficemojo.com/releasegroup/gr2136297989/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3498820,Captain America: Civil War,Captain America: Civil War,"Action,Sci-Fi",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,2,Rogue One: A Star Wars Story,1056057273,https://www.boxofficemojo.com/releasegroup/gr384520709/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3748528,Rogue One: A Star Wars Story,Rogue One,"Action,Adventure,Sci-Fi",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,3,Finding Dory,1028570889,https://www.boxofficemojo.com/releasegroup/gr1869238789/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2277860,Finding Dory,Finding Dory,"Adventure,Animation,Comedy",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,4,Zootopia,1023784195,https://www.boxofficemojo.com/releasegroup/gr1680691717/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2948356,Zootopia,Zootopia,"Action,Adventure,Animation",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,5,The Jungle Book,966550600,https://www.boxofficemojo.com/releasegroup/gr1103385093/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3040964,The Jungle Book,The Jungle Book,"Action,Adventure,Animation",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,6,The Secret Life of Pets,875697467,https://www.boxofficemojo.com/releasegroup/gr4228141573/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2709768,The Secret Life of Pets,The Secret Life of Pets,"Adventure,Animation,Comedy",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,7,Batman v Superman: Dawn of Justice,874360194,https://www.boxofficemojo.com/releasegroup/gr4182135301/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2975590,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,Sci-Fi,no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,8,Fantastic Beasts and Where to Find Them,816037575,https://www.boxofficemojo.com/releasegroup/gr3670495749/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,9,Deadpool,782612155,https://www.boxofficemojo.com/releasegroup/gr2532200965/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt1431045,Deadpool,Deadpool,"Action,Comedy,Sci-Fi",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,10,Suicide Squad,749200054,https://www.boxofficemojo.com/releasegroup/gr457593349/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt1386697,Suicide Squad,Suicide Squad,"Action,Adventure,Fantasy",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,11,Doctor Strange,677718395,https://www.boxofficemojo.com/releasegroup/gr2284737029/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt1211837,Doctor Strange,Doctor Strange,"Action,Adventure,Fantasy",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,12,Moana,643331111,https://www.boxofficemojo.com/releasegroup/gr1742623237/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3521164,Moana,Moana,"Adventure,Animation,Comedy",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,13,Sing,634151679,https://www.boxofficemojo.com/releasegroup/gr3642970629/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3470600,Sing,Sing,"Animation,Comedy,Family",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,14,The Mermaid,553810228,https://www.boxofficemojo.com/releasegroup/gr719016453/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt4701660,The Mermaid,Mei ren yu,"Comedy,Drama,Fantasy",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,15,X-Men: Apocalypse,543934105,https://www.boxofficemojo.com/releasegroup/gr2590724613/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3385516,X-Men: Apocalypse,X-Men: Apocalypse,"Action,Adventure,Sci-Fi",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,16,Kung Fu Panda 3,521170825,https://www.boxofficemojo.com/releasegroup/gr4045558277/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2267968,Kung Fu Panda 3,Kung Fu Panda 3,"Action,Adventure,Animation",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,17,La La Land,447407695,https://www.boxofficemojo.com/releasegroup/gr2781106693/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3783958,La La Land,La La Land,"Comedy,Drama,Music",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,18,Warcraft,439048914,https://www.boxofficemojo.com/releasegroup/gr2367640069/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt0803096,Warcraft,Warcraft,"Action,Adventure,Fantasy",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,19,Jason Bourne,415484914,https://www.boxofficemojo.com/releasegroup/gr2385007109/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt4196776,Jason Bourne,Jason Bourne,"Action,Thriller",no,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
2016,20,Ice Age: Collision Course,408579038,https://www.boxofficemojo.com/releasegroup/gr307778053/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3416828,Ice Age: Collision Course,Ice Age: Collision Course,"Action,Adventure,Animation",yes,IMDb genres contains Animation,https://datasets.imdbws.com/title.basics.tsv.gz
