year,rank,title,worldwide_gross_usd,is_animated,imdb_id,wikidata_qid,wikidata_url,wikidata_label,wikidata_instance_of,wikidata_genres,wikidata_countries,wikidata_production_companies,wikidata_original_languages,wikidata_join_property,wikidata_query_service_url,wikidata_retrieved,wikidata_license,boxofficemojo_release_group_url,annual_ranking_source_url
2016,1,Captain America: Civil War,1153296293,no,tt3498820,Q18407657,http://www.wikidata.org/entity/Q18407657,Captain America: Civil War,film,superhero film,United States,Marvel Studios,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2136297989/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,2,Rogue One: A Star Wars Story,1056057273,no,tt3748528,Q19590955,http://www.wikidata.org/entity/Q19590955,Rogue One: A Star Wars Story,film,fantasy film | action film | war film | space opera | science fiction film,United States,Lucasfilm,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr384520709/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,3,Finding Dory,1028570889,yes,tt2277860,Q9321426,http://www.wikidata.org/entity/Q9321426,Finding Dory,animated film,comedy film | adventure film | comedy drama | family film | flashback film,United States,Pixar | Walt Disney Pictures,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr1869238789/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,4,Zootopia,1023784195,yes,tt2948356,Q15270647,http://www.wikidata.org/entity/Q15270647,Zootopia,animated film,comedy film | adventure film | family film | action comedy film | buddy cop film | detective film,United States,Walt Disney Pictures | Q1047410,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr1680691717/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,5,The Jungle Book,966550600,no,tt3040964,Q16857406,http://www.wikidata.org/entity/Q16857406,The Jungle Book,film,drama film | fantasy film | action film | adventure film | live action,United States,Walt Disney Pictures | Shepperton Studios | Disney Character Voices International | Fairview Entertainment | SDI Media Iberia,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr1103385093/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,6,The Secret Life of Pets,875697467,yes,tt2709768,Q18844656,http://www.wikidata.org/entity/Q18844656,The Secret Life of Pets,film | animated film,comedy film | adventure film | family film,United States,Illumination,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr4228141573/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,7,Batman v Superman: Dawn of Justice,874360194,no,tt2975590,Q14772351,http://www.wikidata.org/entity/Q14772351,Batman v Superman: Dawn of Justice,film | cut,superhero film | crossover fiction,United States,The Stone Quarry | DC Entertainment | RatPac-Dune Entertainment,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr4182135301/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,8,Fantastic Beasts and Where to Find Them,816037575,no,tt3183660,Q18199330,http://www.wikidata.org/entity/Q18199330,Fantastic Beasts and Where to Find Them,film,drama film | fantasy film | adventure film | children's film,United States | United Kingdom,Warner Bros. Entertainment | Heyday Films | Q65557474,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr3670495749/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,9,Deadpool,782612155,no,tt1431045,Q19347291,http://www.wikidata.org/entity/Q19347291,Deadpool,film,action film | erotic film | superhero film | black comedy film,United States,Marvel Entertainment | The Donners' Company | TSG Entertainment | Genre Films,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2532200965/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,10,Suicide Squad,749200054,no,tt1386697,Q18604504,http://www.wikidata.org/entity/Q18604504,Suicide Squad,film,fantasy film | action film | adventure film | science fiction film | prison film | superhero film | vigilante film,United States,RatPac-Dune Entertainment | DC Studios,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr457593349/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,11,Doctor Strange,677718395,no,tt1211837,Q18406872,http://www.wikidata.org/entity/Q18406872,Doctor Strange,film,fantasy film | action film | adventure film | science fiction film | superhero film,United States,Marvel Studios,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2284737029/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,12,Moana,643331111,yes,tt3521164,Q18647981,http://www.wikidata.org/entity/Q18647981,Moana,animated film,comedy film | action film | adventure film | musical film | comedy drama,United States,Walt Disney Pictures | Q1047410,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr1742623237/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,13,Sing,634151679,yes,tt3470600,Q20762698,http://www.wikidata.org/entity/Q20762698,Sing,animated film,drama film | comedy film | musical film | family film,United States,Universal Pictures | Illumination,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr3642970629/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,14,The Mermaid,553810228,no,tt4701660,Q21834546,http://www.wikidata.org/entity/Q21834546,The Mermaid,film,fantasy film | comedy film,People's Republic of China | Hong Kong,China Film Group Corporation,Putonghua,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr719016453/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,15,X-Men: Apocalypse,543934105,no,tt3385516,Q17042878,http://www.wikidata.org/entity/Q17042878,X-Men: Apocalypse,film,fantasy film | science fiction film | superhero film | science fiction action film | apocalyptic film,United States,20th Century Studios | Bad Hat Harry Productions | Marvel Entertainment | The Donners' Company | TSG Entertainment,German | Polish | English | Russian | Arabic,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2590724613/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,16,Kung Fu Panda 3,521170825,yes,tt2267968,Q15055043,http://www.wikidata.org/entity/Q15055043,Kung Fu Panda 3,animated film,comedy film | action film | adventure film | martial arts film | children's film,United States | People's Republic of China,DreamWorks Animation,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr4045558277/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,17,La La Land,447407695,no,tt3783958,Q20856802,http://www.wikidata.org/entity/Q20856802,,film,drama film | comedy film | musical film | comedy drama | romance film | dance film,United States,Starz Entertainment | Summit Entertainment,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2781106693/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,18,Warcraft,439048914,no,tt0803096,Q14513321,http://www.wikidata.org/entity/Q14513321,Warcraft,film,fantasy film | action film | adventure film,United States | United Kingdom,Blizzard Entertainment | Legendary Pictures | Atlas Entertainment | Tencent Pictures,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2367640069/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,19,Jason Bourne,415484914,no,tt4196776,Q19481099,http://www.wikidata.org/entity/Q19481099,Jason Bourne,film,action film | mystery film | thriller film | action thriller,United States,Universal Pictures,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2385007109/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2016,20,Ice Age: Collision Course,408579038,yes,tt3416828,Q15965953,http://www.wikidata.org/entity/Q15965953,Ice Age: Collision Course,animated film,comedy film | adventure film | science fiction film | family film,United States,20th Century Animation | Blue Sky Studios,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr307778053/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc
2017,1,Star Wars: Episode VIII - The Last Jedi,1332539889,no,tt2527336,Q18486021,http://www.wikidata.org/entity/Q18486021,Star Wars: Episode VIII – The Last Jedi,film,fantasy film | action film | adventure film | space opera | science fiction film,United States,Lucasfilm,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr3764736517/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,2,Beauty and the Beast,1263521126,no,tt2771200,Q19946102,http://www.wikidata.org/entity/Q19946102,Beauty and the Beast,film,drama film | fantasy film | musical film | romance film | family film | melodrama | cinematic fairy tale | romantic drama,United States,Walt Disney Pictures | Mandeville Films,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr1429688837/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,3,The Fate of the Furious,1236005118,no,tt4630562,Q19829521,http://www.wikidata.org/entity/Q19829521,The Fate of the Furious,film,action film | crime film,United States,Universal Pictures,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr38949381/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,4,Despicable Me 3,1034799409,yes,tt3469046,Q22997984,http://www.wikidata.org/entity/Q22997984,Despicable Me 3,animated film,comedy film,United States,Illumination,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr1982484997/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,5,Jumanji: Welcome to the Jungle,962077546,no,tt2283362,Q20762680,http://www.wikidata.org/entity/Q20762680,Jumanji: Welcome to the Jungle,film,fantasy film | comedy film | action film | adventure film,United States,Columbia Pictures | Radar Pictures,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2130465285/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,6,Spider-Man: Homecoming,880166924,no,tt2250912,Q23010088,http://www.wikidata.org/entity/Q23010088,Spider-Man: Homecoming,film,action film | superhero film,United States,Columbia Pictures | Marvel Studios,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr65032709/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,7,Wolf Warrior 2,870325439,no,tt7131870,Q27964540,http://www.wikidata.org/entity/Q27964540,Wolf Warrior 2,film,action film | thriller film,People's Republic of China,,English | Chinese,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr3036500485/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,8,Guardians of the Galaxy: Vol. 2,863756051,no,tt3896198,Q20001199,http://www.wikidata.org/entity/Q20001199,Guardians of the Galaxy Vol. 2,film,comedy film | adventure film | science fiction film,United States,Marvel Studios,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr388583941/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,9,Thor: Ragnarok,853977126,no,tt3501632,Q22665878,http://www.wikidata.org/entity/Q22665878,Thor: Ragnarok,film,fantasy film | comedy film | action film | adventure film | science fiction film | superhero film,United States,Marvel Studios | Walt Disney Studios Motion Pictures,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr197939717/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,10,Wonder Woman,822963408,no,tt0451279,Q20502242,http://www.wikidata.org/entity/Q20502242,Wonder Woman,film | superhero film,drama film | fantasy film | action film | adventure film | war film | superhero film,United States,Warner Bros. Entertainment | RatPac-Dune Entertainment | Tencent Pictures | DC Studios,English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr1207325189/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
2017,11,Coco,814641172,yes,tt2380307,Q5815826,http://www.wikidata.org/entity/Q5815826,Coco,animated film,drama film | fantasy film | comedy film | adventure film | musical film | family film | melodrama | detective film | ghost film,United States | Mexico,Pixar | Walt Disney Pictures,Spanish | English,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0,https://www.boxofficemojo.com/releasegroup/gr2402243077/,https://www.boxofficemojo.com/year/world/2017/?sort=rank&sortDir=asc
